f0020-01-s.cnf,0.010000
f0020-01-u.cnf,0.031000
f0020-02-s.cnf,0.000000
f0020-02-u.cnf,0.026000
f0020-03-s.cnf,0.000000
f0020-03-u.cnf,0.017000
f0020-04-s.cnf,0.008000
f0020-04-u.cnf,0.015000
f0020-05-s.cnf,0.005000
f0020-05-u.cnf,0.025000
f0020-06-s.cnf,0.016000
f0020-06-u.cnf,0.033000
f0020-07-s.cnf,0.001000
f0020-07-u.cnf,0.075000
f0020-08-s.cnf,0.011000
f0020-08-u.cnf,0.061000
f0040-01-s.cnf,41.042000
f0040-01-u.cnf,12.658000
f0040-02-s.cnf,3.179000
f0040-02-u.cnf,32.097000
f0040-03-s.cnf,0.333000
f0040-03-u.cnf,8.363000
f0040-04-s.cnf,8.308000
f0040-04-u.cnf,12.835000
f0040-05-s.cnf,0.983000
f0040-05-u.cnf,9.570000
f0040-06-s.cnf,1.703000
f0040-06-u.cnf,56.179000
f0040-07-s.cnf,0.797000
f0040-07-u.cnf,24.381000
f0040-08-s.cnf,4.090000
f0040-08-u.cnf,7.873000
